imageNumber,Magnification,# of eye cells,Follicles per cell,Eye socket shape,eye cell merging ,wildType,Depression 
0,4.2,4,4,1,6,0,-1
1,12.64,-1,0,0,10,0,1
2,2.5,-1,5,4,10,0,-1
3,1,1,1,5,10,0,10
4,21.71,-1,-1,-1,10,0,-1
5,28.09,-1,-1,-1,10,0,-1
6,1.61,1,1,5,10,0,10
7,3.76,-1,5,1,10,0,-1
8,8,-1,-1,1,9,0,-1
9,1.48,0,0,0,-1,0,-1
10,1,7,6,7,10,0,5
11,1,1,1,5,10,0,10
12,74.03,-1,-1,-1,-1,0,-1
13,1,10,10,10,10,0,10
14,1,6,1,8,7,0,1
15,26.17,-1,-1,-1,-1,0,-1
16,1,9,1,7,9,0,1
17,5.35,-1,6,1,9,0,-1
18,5.33,-1,0,0,-1,0,-1
19,1,9,7,7,9,0,1
20,7,-1,10,3,10,0,-1
21,5,8,1,-1,8,0,-1
22,2.55,8,4,4,8,0,-1
23,1,10,10,10,10,0,10
24,4,10,10,4,10,0,-1
25,1,7,6,7,9,0,1
26,0,9,7,3,10,0,-1
27,4,5,4,2,9,0,-1
28,1,0,0,0,-1,0,-1
29,1,10,10,10,10,0,10
30,1,10,9,10,10,10,10
31,3.16,8,4,2,9,0,-1
32,1,8,6,9,10,0,5
33,3.14,8,5,4,8,0,-1
34,3.78,2,1,5,7,0,10
35,4.66,1,1,5,10,0,10
36,1,4,5,7,10,0,5
37,533,0,0,0,-1,0,-1
38,1,10,10,10,10,0,5
39,4.2,-1,-1,4,10,0,-1
40,3.55,-1,-1,2,9,0,-1
41,10,-1,-1,-1,10,0,10
42,5.17,-1,-1,3,8,0,-1
43,0,10,10,8,10,0,10
44,125.53,-1,-1,-1,-1,0,-1
45,1,10,10,8,10,0,10
46,2,8,4,7,9,0,1
47,5,-1,-1,-1,-1,0,-1
48,1.29,8,5,8,9,0,1
49,1,10,10,10,10,10,10
50,2.03,-1,-1,4,10,0,-1
51,4.76,1,1,6,10,0,10
52,1,9,8,9,10,0,5
53,4,-1,-1,1,10,0,-1
54,4,-1,-1,2,10,0,-1
55,1,8,7,9,9,0,10
56,3.76,0,-1,-1,-1,0,-1
57,1,1,1,5,10,0,10
58,74.03,-1,-1,-1,-1,0,-1
59,0,10,-1,4,10,0,-1
60,5,1,1,5,9,0,10
61,1,6,3,7,8,0,10
62,10,10,10,3,10,0,-1
63,10.7,-1,0,0,-1,0,1
64,4,7,-1,-1,7,0,-1
65,1,10,10,10,10,10,10
66,6.5,-1,-1,-1,3,0,-1
67,3.94,-1,-1,1,8,0,-1
68,2.5,6,-1,3,10,0,-1
69,10,7,3,6,10,0,1
70,1.48,1,1,5,10,0,10
71,10,-1,-1,3,10,0,-1
72,3.27,-1,-1,3,9,0,-1
73,3.41,-1,-1,-1,-1,0,-1
74,1,5,7,8,10,0,10
75,5.52,6,6,6,9,0,1
76,5,-1,-1,1,8,0,-1
77,1,-1,-1,-1,-1,0,-1
78,1.48,6,7,8,9,0,10
79,2.45,-1,-1,4,10,0,-1
